,Name,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage
2250,"Tulsa County, Oklahoma",32.0,32.2,25.7,10.1
2251,"Wagoner County, Oklahoma",23.8,34.9,32.0,9.3
2252,"Washington County, Oklahoma",28.8,27.9,34.3,9.0
2253,"Washita County, Oklahoma",20.3,29.5,39.5,10.7
2254,"Woods County, Oklahoma",29.4,29.1,29.1,12.4
2255,"Woodward County, Oklahoma",19.4,29.0,40.0,11.6
2256,"Oregon, Oregon",34.4,34.1,22.7,8.9
2257,"Baker County, Oregon",25.0,36.8,29.4,8.8
2258,"Benton County, Oregon",53.3,29.2,13.7,3.8
2259,"Clackamas County, Oregon",38.0,34.4,21.4,6.3
2260,"Clatsop County, Oregon",24.0,40.9,27.5,7.6
2261,"Columbia County, Oregon",18.0,39.6,33.1,9.2
2262,"Coos County, Oregon",19.9,39.4,30.7,10.0
2263,"Crook County, Oregon",18.8,37.9,32.5,10.7
2264,"Curry County, Oregon",23.5,40.4,28.1,7.9
2265,"Deschutes County, Oregon",37.2,35.0,21.6,6.2
2266,"Douglas County, Oregon",18.5,39.5,32.5,9.5
2267,"Gilliam County, Oregon",21.7,38.6,33.2,6.5
2268,"Grant County, Oregon",20.8,33.4,35.0,10.9
2269,"Harney County, Oregon",16.5,39.4,35.6,8.4
2270,"Hood River County, Oregon",34.7,27.0,20.7,17.5
2271,"Jackson County, Oregon",28.8,36.4,25.2,9.6
2272,"Jefferson County, Oregon",21.4,36.5,30.3,11.7
2273,"Josephine County, Oregon",18.1,42.5,30.2,9.2
2274,"Klamath County, Oregon",21.2,34.9,31.6,12.3
2275,"Lake County, Oregon",19.4,34.4,34.1,12.1
2276,"Lane County, Oregon",31.9,37.5,23.1,7.5
2277,"Lincoln County, Oregon",27.7,39.6,24.9,7.7
2278,"Linn County, Oregon",19.5,41.1,29.2,10.1
2279,"Malheur County, Oregon",14.9,36.0,30.3,18.7
2280,"Marion County, Oregon",24.1,35.2,25.9,14.8
2281,"Morrow County, Oregon",9.1,34.3,34.7,21.9
2282,"Multnomah County, Oregon",46.5,28.3,17.2,8.0
2283,"Polk County, Oregon",30.5,37.0,24.1,8.5
2284,"Sherman County, Oregon",20.0,40.8,28.6,10.6
2285,"Tillamook County, Oregon",21.4,40.3,28.6,9.7
2286,"Umatilla County, Oregon",17.5,36.5,29.0,17.0
2287,"Union County, Oregon",24.2,35.8,32.9,7.1
2288,"Wallowa County, Oregon",26.9,37.2,30.2,5.7
2289,"Wasco County, Oregon",20.4,38.7,28.5,12.4
2290,"Washington County, Oregon",44.9,30.2,17.5,7.4
2291,"Wheeler County, Oregon",18.9,41.6,32.8,6.7
2292,"Yamhill County, Oregon",27.3,38.0,24.3,10.4
2293,"Pennsylvania, Pennsylvania",32.3,24.5,34.2,9.0
2294,"Adams County, Pennsylvania",22.6,27.1,39.5,10.8
2295,"Allegheny County, Pennsylvania",42.5,25.9,26.4,5.2
2296,"Armstrong County, Pennsylvania",18.1,24.5,49.2,8.2
2297,"Beaver County, Pennsylvania",25.5,31.8,36.4,6.2
2298,"Bedford County, Pennsylvania",15.9,23.2,49.6,11.3
2299,"Berks County, Pennsylvania",25.9,25.0,36.3,12.8
2300,"Blair County, Pennsylvania",22.3,25.2,44.3,8.3
2301,"Bradford County, Pennsylvania",18.7,23.9,47.2,10.2
2302,"Bucks County, Pennsylvania",42.2,24.1,28.0,5.7
2303,"Butler County, Pennsylvania",37.5,26.2,31.8,4.6
2304,"Cambria County, Pennsylvania",22.0,25.7,44.3,8.0
2305,"Cameron County, Pennsylvania",10.8,31.0,49.5,8.7
2306,"Carbon County, Pennsylvania",17.9,27.3,44.5,10.3
2307,"Centre County, Pennsylvania",45.8,20.7,28.0,5.5
2308,"Chester County, Pennsylvania",54.2,19.6,20.5,5.7
2309,"Clarion County, Pennsylvania",23.0,21.6,46.0,9.4
2310,"Clearfield County, Pennsylvania",16.8,23.0,48.3,11.9
2311,"Clinton County, Pennsylvania",19.6,22.8,47.5,10.2
2312,"Columbia County, Pennsylvania",24.3,23.8,42.8,9.2
2313,"Crawford County, Pennsylvania",20.4,22.1,47.3,10.1
2314,"Cumberland County, Pennsylvania",37.4,23.8,31.7,7.1
2315,"Dauphin County, Pennsylvania",32.3,26.2,32.5,9.0
2316,"Delaware County, Pennsylvania",39.5,24.3,29.3,6.8
2317,"Elk County, Pennsylvania",19.2,25.0,48.8,7.0
2318,"Erie County, Pennsylvania",28.7,25.0,37.8,8.5
2319,"Fayette County, Pennsylvania",17.7,23.0,48.1,11.2
2320,"Forest County, Pennsylvania",9.6,19.8,54.3,16.3
2321,"Franklin County, Pennsylvania",22.2,23.1,43.4,11.2
2322,"Fulton County, Pennsylvania",15.0,23.7,50.6,10.7
2323,"Greene County, Pennsylvania",17.7,24.7,45.1,12.4
2324,"Huntingdon County, Pennsylvania",17.8,22.9,49.0,10.2
2325,"Indiana County, Pennsylvania",25.0,24.3,41.5,9.2
2326,"Jefferson County, Pennsylvania",16.2,23.3,51.1,9.4
2327,"Juniata County, Pennsylvania",15.2,19.2,48.7,16.9
2328,"Lackawanna County, Pennsylvania",28.7,26.1,36.7,8.5
2329,"Lancaster County, Pennsylvania",28.6,22.3,34.8,14.4
2330,"Lawrence County, Pennsylvania",22.3,25.5,43.5,8.7
2331,"Lebanon County, Pennsylvania",21.2,22.3,44.1,12.3
2332,"Lehigh County, Pennsylvania",30.8,26.0,32.7,10.5
2333,"Luzerne County, Pennsylvania",23.6,27.9,38.7,9.8
2334,"Lycoming County, Pennsylvania",23.5,29.3,37.7,9.5
2335,"McKean County, Pennsylvania",19.0,26.0,46.8,8.2
2336,"Mercer County, Pennsylvania",22.7,25.3,41.8,10.1
2337,"Mifflin County, Pennsylvania",13.2,21.6,49.9,15.2
2338,"Monroe County, Pennsylvania",25.8,29.0,34.7,10.4
2339,"Montgomery County, Pennsylvania",49.6,21.5,23.3,5.6
2340,"Montour County, Pennsylvania",33.0,18.7,39.4,8.9
2341,"Northampton County, Pennsylvania",31.8,25.3,34.2,8.7
2342,"Northumberland County, Pennsylvania",17.9,21.9,49.4,10.9
2343,"Perry County, Pennsylvania",18.5,24.4,45.2,11.9
2344,"Philadelphia County, Pennsylvania",31.2,22.7,31.8,14.3
2345,"Pike County, Pennsylvania",27.1,31.6,33.8,7.6
2346,"Potter County, Pennsylvania",15.3,27.5,46.1,11.1
2347,"Schuylkill County, Pennsylvania",17.0,26.6,45.9,10.6
2348,"Snyder County, Pennsylvania",21.1,21.0,44.6,13.3
2349,"Somerset County, Pennsylvania",16.7,23.4,48.7,11.2
2350,"Sullivan County, Pennsylvania",18.0,25.4,46.5,10.1
2351,"Susquehanna County, Pennsylvania",19.2,25.4,45.9,9.5
2352,"Tioga County, Pennsylvania",19.7,27.0,44.7,8.6
2353,"Union County, Pennsylvania",25.4,21.4,41.0,12.2
2354,"Venango County, Pennsylvania",19.3,23.7,48.0,9.0
2355,"Warren County, Pennsylvania",19.4,28.5,45.2,6.8
2356,"Washington County, Pennsylvania",30.6,25.5,37.4,6.5
2357,"Wayne County, Pennsylvania",20.7,27.0,42.4,10.0
2358,"Westmoreland County, Pennsylvania",30.3,28.7,35.9,5.2
2359,"Wyoming County, Pennsylvania",20.7,26.0,46.2,7.2
2360,"York County, Pennsylvania",25.2,25.9,39.2,9.7
2361,"Rhode Island, Rhode Island",35.0,26.2,28.0,10.8
2362,"Bristol County, Rhode Island",49.2,21.5,20.1,9.3
2363,"Kent County, Rhode Island",32.7,30.9,28.8,7.6
2364,"Newport County, Rhode Island",49.7,24.8,20.2,5.3
2365,"Providence County, Rhode Island",30.3,25.3,30.6,13.7
2366,"Washington County, Rhode Island",46.0,26.6,22.1,5.3
2367,"South Carolina, South Carolina",29.0,30.5,28.9,11.7
2368,"Abbeville County, South Carolina",18.3,29.1,35.4,17.1
2369,"Aiken County, South Carolina",27.8,29.5,31.9,10.8
2370,"Allendale County, South Carolina",10.4,26.7,40.0,22.9
2371,"Anderson County, South Carolina",24.1,31.4,30.2,14.4
2372,"Bamberg County, South Carolina",18.1,29.3,32.0,20.6
2373,"Barnwell County, South Carolina",14.7,32.8,34.9,17.7
2374,"Beaufort County, South Carolina",42.0,29.5,21.9,6.6
2375,"Berkeley County, South Carolina",25.4,33.5,30.1,10.9
2376,"Calhoun County, South Carolina",18.8,30.7,36.8,13.6
2377,"Charleston County, South Carolina",45.3,25.5,21.7,7.6
2378,"Cherokee County, South Carolina",14.4,30.9,36.2,18.5
2379,"Chester County, South Carolina",13.7,29.2,40.8,16.3
2380,"Chesterfield County, South Carolina",12.4,26.2,39.2,22.2
2381,"Clarendon County, South Carolina",15.8,28.0,36.4,19.8
2382,"Colleton County, South Carolina",16.3,27.1,44.2,12.4
2383,"Darlington County, South Carolina",17.6,28.7,36.8,16.9
2384,"Dillon County, South Carolina",12.9,27.2,38.5,21.4
2385,"Dorchester County, South Carolina",28.2,34.7,26.1,11.0
2386,"Edgefield County, South Carolina",18.0,29.0,35.8,17.2
2387,"Fairfield County, South Carolina",17.8,28.9,39.4,13.8
2388,"Florence County, South Carolina",24.2,29.3,32.4,14.1
2389,"Georgetown County, South Carolina",29.7,32.3,27.1,10.8
2390,"Greenville County, South Carolina",36.4,29.2,23.5,10.9
2391,"Greenwood County, South Carolina",24.1,29.5,31.9,14.5
2392,"Hampton County, South Carolina",11.3,28.2,41.7,18.7
2393,"Horry County, South Carolina",24.2,34.2,32.2,9.4
2394,"Jasper County, South Carolina",21.4,27.9,37.2,13.5
2395,"Kershaw County, South Carolina",21.1,31.5,36.7,10.8
2396,"Lancaster County, South Carolina",28.5,30.2,28.5,12.7
2397,"Laurens County, South Carolina",17.2,29.8,35.1,17.9
2398,"Lee County, South Carolina",14.9,27.2,39.8,18.2
2399,"Lexington County, South Carolina",30.8,31.3,27.7,10.1
2400,"McCormick County, South Carolina",21.0,28.4,34.3,16.3
2401,"Marion County, South Carolina",13.0,23.0,43.2,20.8
2402,"Marlboro County, South Carolina",7.7,25.4,44.6,22.4
2403,"Newberry County, South Carolina",19.2,29.5,35.4,16.0
2404,"Oconee County, South Carolina",27.4,29.6,28.7,14.3
2405,"Orangeburg County, South Carolina",19.5,34.3,32.2,14.0
2406,"Pickens County, South Carolina",26.8,30.8,28.6,13.8
2407,"Richland County, South Carolina",39.1,30.5,22.0,8.4
2408,"Saluda County, South Carolina",18.3,26.8,34.2,20.7
2409,"Spartanburg County, South Carolina",24.8,31.6,30.7,12.9
2410,"Sumter County, South Carolina",20.8,34.7,31.5,13.0
2411,"Union County, South Carolina",13.5,30.7,40.0,15.8
2412,"Williamsburg County, South Carolina",14.3,25.2,43.8,16.7
2413,"York County, South Carolina",33.7,32.5,25.0,8.8
2414,"South Dakota, South Dakota",29.3,32.7,30.2,7.8
2415,"Aurora County, South Dakota",20.3,31.9,36.3,11.4
2416,"Beadle County, South Dakota",23.5,27.2,34.0,15.3
2417,"Bennett County, South Dakota",22.4,33.3,29.0,15.3
2418,"Bon Homme County, South Dakota",20.3,32.8,34.7,12.2
2419,"Brookings County, South Dakota",42.2,29.0,25.1,3.6
2420,"Brown County, South Dakota",31.7,32.0,30.1,6.3
2421,"Brule County, South Dakota",26.5,29.4,34.1,10.0
2422,"Buffalo County, South Dakota",8.1,32.0,37.8,22.1
2423,"Butte County, South Dakota",21.5,28.6,42.7,7.3
2424,"Campbell County, South Dakota",28.3,30.2,30.8,10.7
2425,"Charles Mix County, South Dakota",20.2,31.6,36.0,12.2
2426,"Clark County, South Dakota",18.9,31.1,42.5,7.5
2427,"Clay County, South Dakota",48.9,23.0,21.9,6.2
2428,"Codington County, South Dakota",20.0,35.7,35.9,8.5
2429,"Corson County, South Dakota",16.1,34.2,34.5,15.2
2430,"Custer County, South Dakota",23.2,33.6,36.8,6.3
2431,"Davison County, South Dakota",26.0,32.7,32.3,9.0
2432,"Day County, South Dakota",22.1,32.2,36.2,9.6
2433,"Deuel County, South Dakota",22.7,34.4,35.1,7.8
2434,"Dewey County, South Dakota",17.2,31.0,35.0,16.8
2435,"Douglas County, South Dakota",18.2,39.4,31.4,11.0
2436,"Edmunds County, South Dakota",25.9,33.6,34.1,6.5
2437,"Fall River County, South Dakota",19.7,34.3,36.9,9.0
2438,"Faulk County, South Dakota",28.6,35.9,28.0,7.5
2439,"Grant County, South Dakota",22.4,30.9,37.7,9.0
2440,"Gregory County, South Dakota",21.5,34.2,35.4,8.9
2441,"Haakon County, South Dakota",16.4,34.5,42.9,6.1
2442,"Hamlin County, South Dakota",21.8,30.0,40.4,7.8
2443,"Hand County, South Dakota",22.4,39.1,32.0,6.5
2444,"Hanson County, South Dakota",16.1,41.1,35.0,7.7
2445,"Harding County, South Dakota",24.7,35.0,34.8,5.5
2446,"Hughes County, South Dakota",36.6,31.3,27.7,4.4
2447,"Hutchinson County, South Dakota",22.9,33.6,32.5,11.0
2448,"Hyde County, South Dakota",22.7,35.1,35.1,7.0
2449,"Jackson County, South Dakota",15.1,31.2,38.1,15.7
2450,"Jerauld County, South Dakota",21.3,27.9,41.5,9.3
2451,"Jones County, South Dakota",29.2,25.8,41.5,3.5
2452,"Kingsbury County, South Dakota",23.4,30.1,38.6,7.9
2453,"Lake County, South Dakota",33.1,29.9,27.9,9.0
2454,"Lawrence County, South Dakota",35.0,32.6,26.4,6.0
2455,"Lincoln County, South Dakota",36.7,33.2,25.7,4.5
2456,"Lyman County, South Dakota",23.1,31.0,35.7,10.2
2457,"McCook County, South Dakota",24.6,29.9,35.2,10.4
2458,"McPherson County, South Dakota",23.5,27.2,33.7,15.7
2459,"Marshall County, South Dakota",25.8,36.1,31.1,7.1
2460,"Meade County, South Dakota",26.1,38.9,30.1,4.9
2461,"Mellette County, South Dakota",13.2,29.2,39.5,18.0
2462,"Miner County, South Dakota",20.1,28.7,42.2,9.0
2463,"Minnehaha County, South Dakota",33.6,33.2,26.2,7.0
2464,"Moody County, South Dakota",25.3,35.7,31.3,7.7
2465,"Oglala Lakota County, South Dakota",11.1,37.5,25.1,26.3
2466,"Pennington County, South Dakota",31.7,32.9,29.0,6.4
2467,"Perkins County, South Dakota",20.8,34.7,34.3,10.1
2468,"Potter County, South Dakota",23.5,32.5,38.1,5.9
2469,"Roberts County, South Dakota",16.5,37.9,35.7,9.8
2470,"Sanborn County, South Dakota",19.6,30.9,42.2,7.3
2471,"Spink County, South Dakota",26.2,31.6,34.3,7.9
2472,"Stanley County, South Dakota",28.5,30.5,36.1,4.9
2473,"Sully County, South Dakota",21.8,38.1,36.0,4.1
2474,"Todd County, South Dakota",13.7,31.5,34.6,20.2
2475,"Tripp County, South Dakota",20.7,26.7,41.7,10.9
2476,"Turner County, South Dakota",26.3,34.4,32.1,7.2
2477,"Union County, South Dakota",30.3,34.5,28.9,6.2
2478,"Walworth County, South Dakota",21.5,26.9,40.6,11.0
2479,"Yankton County, South Dakota",26.7,31.5,32.2,9.6
2480,"Ziebach County, South Dakota",16.1,29.9,41.6,12.4
2481,"Tennessee, Tennessee",28.2,28.2,31.8,11.8
2482,"Anderson County, Tennessee",22.8,31.5,34.3,11.4
2483,"Bedford County, Tennessee",18.1,24.6,40.7,16.5
2484,"Benton County, Tennessee",12.8,23.7,46.9,16.6
2485,"Bledsoe County, Tennessee",11.4,22.6,44.4,21.6
2486,"Blount County, Tennessee",24.6,29.4,35.4,10.6
2487,"Bradley County, Tennessee",23.5,31.3,32.3,12.9
2488,"Campbell County, Tennessee",13.0,27.4,38.9,20.8
2489,"Cannon County, Tennessee",16.3,21.9,45.8,15.9
2490,"Carroll County, Tennessee",18.7,25.6,42.8,12.8
2491,"Carter County, Tennessee",18.5,28.7,38.0,14.9
2492,"Cheatham County, Tennessee",20.5,27.3,38.8,13.4
2493,"Chester County, Tennessee",15.9,27.0,42.4,14.7
2494,"Claiborne County, Tennessee",17.4,26.0,36.9,19.6
2495,"Clay County, Tennessee",13.0,19.8,47.9,19.3
2496,"Cocke County, Tennessee",11.3,22.4,48.1,18.2
2497,"Coffee County, Tennessee",21.2,27.5,38.3,13.1
2498,"Crockett County, Tennessee",15.2,27.7,40.9,16.2
2499,"Cumberland County, Tennessee",17.5,30.5,39.1,12.9
2500,"Davidson County, Tennessee",43.3,25.0,21.4,10.3
2501,"Decatur County, Tennessee",14.3,27.2,43.2,15.3
2502,"DeKalb County, Tennessee",18.9,22.3,38.2,20.5
2503,"Dickson County, Tennessee",17.2,28.2,40.3,14.4
2504,"Dyer County, Tennessee",18.6,31.2,36.0,14.3
2505,"Fayette County, Tennessee",22.5,31.9,33.4,12.2
2506,"Fentress County, Tennessee",16.6,22.9,41.2,19.3
2507,"Franklin County, Tennessee",20.8,25.2,42.1,11.9
2508,"Gibson County, Tennessee",17.9,29.4,38.8,13.9
2509,"Giles County, Tennessee",17.9,24.5,44.6,12.9
2510,"Grainger County, Tennessee",12.9,26.0,41.3,19.9
2511,"Greene County, Tennessee",16.1,25.8,42.7,15.5
2512,"Grundy County, Tennessee",13.4,22.2,42.6,21.8
2513,"Hamblen County, Tennessee",18.1,26.5,38.3,17.0
2514,"Hamilton County, Tennessee",33.3,30.7,26.2,9.7
2515,"Hancock County, Tennessee",10.7,28.5,41.9,18.9
2516,"Hardeman County, Tennessee",10.5,24.6,45.7,19.2
2517,"Hardin County, Tennessee",16.5,24.3,42.0,17.2
2518,"Hawkins County, Tennessee",16.7,27.7,42.3,13.2
2519,"Haywood County, Tennessee",11.4,25.6,47.4,15.5
2520,"Henderson County, Tennessee",13.6,25.8,45.7,15.0
2521,"Henry County, Tennessee",17.7,22.8,46.5,12.9
2522,"Hickman County, Tennessee",9.4,24.7,47.4,18.5
2523,"Houston County, Tennessee",13.4,23.8,42.8,20.0
2524,"Humphreys County, Tennessee",14.8,22.6,46.9,15.8
2525,"Jackson County, Tennessee",11.6,22.5,46.3,19.5
2526,"Jefferson County, Tennessee",17.5,30.4,38.3,13.8
2527,"Johnson County, Tennessee",11.9,27.7,41.0,19.4
2528,"Knox County, Tennessee",38.8,28.4,24.7,8.1
2529,"Lake County, Tennessee",10.1,20.1,43.3,26.5
2530,"Lauderdale County, Tennessee",9.6,24.0,44.4,22.0
2531,"Lawrence County, Tennessee",13.9,26.4,44.0,15.7
2532,"Lewis County, Tennessee",10.1,28.8,44.3,16.8
2533,"Lincoln County, Tennessee",19.1,24.2,41.5,15.1
2534,"Loudon County, Tennessee",27.3,29.2,30.6,13.0
2535,"McMinn County, Tennessee",17.0,29.7,38.4,15.0
2536,"McNairy County, Tennessee",13.1,25.8,45.6,15.6
2537,"Macon County, Tennessee",9.0,23.9,48.7,18.4
2538,"Madison County, Tennessee",25.9,28.2,34.4,11.5
2539,"Marion County, Tennessee",12.5,28.3,40.2,19.0
2540,"Marshall County, Tennessee",16.2,31.0,40.0,12.7
2541,"Maury County, Tennessee",24.0,31.6,34.8,9.6
2542,"Meigs County, Tennessee",10.2,29.0,44.7,16.0
2543,"Monroe County, Tennessee",15.3,29.2,40.1,15.4
2544,"Montgomery County, Tennessee",29.4,36.7,27.1,6.7
2545,"Moore County, Tennessee",19.4,24.9,42.1,13.6
2546,"Morgan County, Tennessee",11.4,24.2,45.9,18.5
2547,"Obion County, Tennessee",15.5,23.3,44.8,16.4
2548,"Overton County, Tennessee",12.5,21.3,46.5,19.6
2549,"Perry County, Tennessee",8.6,23.6,43.2,24.6
2550,"Pickett County, Tennessee",13.5,26.3,39.5,20.7
2551,"Polk County, Tennessee",12.6,34.9,34.1,18.4
2552,"Putnam County, Tennessee",26.4,24.2,37.6,11.8
2553,"Rhea County, Tennessee",16.6,27.8,38.2,17.5
2554,"Roane County, Tennessee",19.1,33.0,37.8,10.2
2555,"Robertson County, Tennessee",20.4,27.8,39.1,12.7
2556,"Rutherford County, Tennessee",32.6,32.0,27.8,7.6
2557,"Scott County, Tennessee",9.2,24.2,45.1,21.5
2558,"Sequatchie County, Tennessee",14.7,27.1,41.5,16.8
2559,"Sevier County, Tennessee",18.3,31.5,36.7,13.5
2560,"Shelby County, Tennessee",32.4,29.4,27.3,10.9
2561,"Smith County, Tennessee",17.2,25.5,43.2,14.1
2562,"Stewart County, Tennessee",18.2,25.4,43.6,12.7
2563,"Sullivan County, Tennessee",24.5,28.8,34.1,12.5
2564,"Sumner County, Tennessee",28.6,31.4,30.3,9.7
2565,"Tipton County, Tennessee",17.0,34.3,36.8,11.9
2566,"Trousdale County, Tennessee",11.6,29.5,43.9,15.0
2567,"Unicoi County, Tennessee",16.4,31.7,37.5,14.4
2568,"Union County, Tennessee",11.1,24.1,43.1,21.7
2569,"Van Buren County, Tennessee",8.6,24.3,46.0,21.1
2570,"Warren County, Tennessee",13.7,23.5,44.8,18.1
2571,"Washington County, Tennessee",32.3,27.8,29.5,10.4
2572,"Wayne County, Tennessee",10.6,25.2,45.2,19.0
2573,"Weakley County, Tennessee",19.9,23.3,44.1,12.7
2574,"White County, Tennessee",12.7,27.7,40.8,18.9
2575,"Williamson County, Tennessee",60.5,21.7,13.0,4.8
2576,"Wilson County, Tennessee",34.8,29.1,28.1,8.0
2577,"Texas, Texas",30.7,29.0,24.7,15.6
2578,"Anderson County, Texas",11.3,32.2,39.0,17.5
2579,"Andrews County, Texas",14.9,28.4,33.4,23.3
2580,"Angelina County, Texas",18.2,34.1,30.8,17.0
2581,"Aransas County, Texas",23.2,34.8,29.1,12.9
2582,"Archer County, Texas",22.3,31.6,36.5,9.5
2583,"Armstrong County, Texas",25.7,41.6,23.8,8.9
2584,"Atascosa County, Texas",15.3,24.0,39.7,21.0
2585,"Austin County, Texas",23.0,31.2,33.4,12.4
2586,"Bailey County, Texas",17.4,20.4,40.2,22.1
2587,"Bandera County, Texas",22.4,35.4,31.9,10.3
2588,"Bastrop County, Texas",21.5,31.0,30.6,16.9
2589,"Baylor County, Texas",21.0,28.6,37.9,12.6
2590,"Bee County, Texas",10.8,34.8,33.6,20.8
2591,"Bell County, Texas",25.3,39.9,25.7,9.1
2592,"Bexar County, Texas",28.5,30.8,25.1,15.6
2593,"Blanco County, Texas",28.2,35.9,27.5,8.4
2594,"Borden County, Texas",45.2,27.2,21.0,6.7
2595,"Bosque County, Texas",18.5,36.8,33.0,11.7
2596,"Bowie County, Texas",21.9,33.7,33.9,10.5
2597,"Brazoria County, Texas",31.1,32.7,25.0,11.2
2598,"Brazos County, Texas",41.4,26.3,20.5,11.7
2599,"Brewster County, Texas",40.8,25.8,18.3,15.1
2600,"Briscoe County, Texas",17.5,32.1,35.9,14.6
2601,"Brooks County, Texas",16.4,24.5,26.2,32.9
2602,"Brown County, Texas",20.1,31.8,35.1,13.0
2603,"Burleson County, Texas",21.3,25.9,36.9,15.9
2604,"Burnet County, Texas",26.8,31.3,30.4,11.6
2605,"Caldwell County, Texas",14.8,27.1,37.8,20.3
2606,"Calhoun County, Texas",17.5,32.5,30.9,19.1
2607,"Callahan County, Texas",22.4,31.3,34.8,11.4
2608,"Cameron County, Texas",18.2,24.3,26.1,31.4
2609,"Camp County, Texas",21.9,32.5,33.4,12.3
2610,"Carson County, Texas",27.9,36.4,29.9,5.8
2611,"Cass County, Texas",18.3,25.9,42.7,13.1
2612,"Castro County, Texas",16.4,24.7,34.3,24.6
2613,"Chambers County, Texas",22.5,40.7,26.6,10.3
2614,"Cherokee County, Texas",17.4,31.9,31.5,19.1
2615,"Childress County, Texas",18.8,27.7,37.7,15.8
2616,"Clay County, Texas",23.6,32.5,34.9,9.1
2617,"Cochran County, Texas",8.2,27.3,34.6,29.8
2618,"Coke County, Texas",22.2,27.7,33.3,16.8
2619,"Coleman County, Texas",16.9,33.5,36.1,13.5
2620,"Collin County, Texas",53.2,26.2,14.5,6.1
2621,"Collingsworth County, Texas",22.3,31.2,21.7,24.7
2622,"Colorado County, Texas",19.1,27.2,38.1,15.7
2623,"Comal County, Texas",37.9,30.3,25.4,6.3
2624,"Comanche County, Texas",20.1,32.9,32.7,14.3
2625,"Concho County, Texas",13.2,25.5,30.5,30.8
2626,"Cooke County, Texas",21.8,34.8,30.8,12.6
2627,"Coryell County, Texas",16.9,44.1,27.8,11.2
2628,"Cottle County, Texas",18.9,35.1,27.1,18.9
2629,"Crane County, Texas",13.3,26.9,36.6,23.1
2630,"Crockett County, Texas",9.7,21.5,47.5,21.4
2631,"Crosby County, Texas",14.9,28.6,32.8,23.8
2632,"Culberson County, Texas",16.5,16.6,32.3,34.6
2633,"Dallam County, Texas",17.0,22.6,28.5,31.9
2634,"Dallas County, Texas",32.5,25.3,22.6,19.7
2635,"Dawson County, Texas",14.5,23.5,33.7,28.4
2636,"Deaf Smith County, Texas",12.0,22.9,37.8,27.3
2637,"Delta County, Texas",21.6,31.9,33.9,12.6
2638,"Denton County, Texas",45.8,29.4,17.6,7.2
2639,"DeWitt County, Texas",12.2,30.6,40.0,17.2
2640,"Dickens County, Texas",18.6,28.2,33.3,19.8
2641,"Dimmit County, Texas",14.8,22.4,30.5,32.2
2642,"Donley County, Texas",18.1,41.9,29.5,10.5
2643,"Duval County, Texas",9.2,30.9,30.4,29.6
2644,"Eastland County, Texas",19.2,34.9,31.0,14.8
2645,"Ector County, Texas",16.6,29.8,30.2,23.4
2646,"Edwards County, Texas",18.2,29.9,28.7,23.1
2647,"Ellis County, Texas",25.3,33.9,27.4,13.4
2648,"El Paso County, Texas",24.0,31.8,23.2,21.0
2649,"Erath County, Texas",33.0,28.3,25.9,12.8
2650,"Falls County, Texas",12.4,30.1,34.9,22.6
2651,"Fannin County, Texas",17.9,31.6,36.0,14.4
2652,"Fayette County, Texas",22.3,27.3,39.5,10.9
2653,"Fisher County, Texas",20.3,33.4,35.2,11.1
2654,"Floyd County, Texas",15.7,29.8,29.6,24.8
2655,"Foard County, Texas",12.8,39.7,28.8,18.8
2656,"Fort Bend County, Texas",46.5,26.4,17.8,9.2
2657,"Franklin County, Texas",30.3,35.3,25.0,9.4
2658,"Freestone County, Texas",14.8,35.2,31.8,18.2
2659,"Frio County, Texas",8.2,23.0,33.7,35.1
2660,"Gaines County, Texas",10.4,19.0,32.3,38.2
2661,"Galveston County, Texas",32.1,32.9,24.6,10.4
2662,"Garza County, Texas",12.3,21.3,31.4,35.0
2663,"Gillespie County, Texas",34.1,25.6,30.0,10.3
2664,"Glasscock County, Texas",25.5,21.1,22.8,30.7
2665,"Goliad County, Texas",15.9,41.1,25.2,17.7
2666,"Gonzales County, Texas",12.4,20.2,43.5,23.8
2667,"Gray County, Texas",15.1,32.5,32.1,20.3
2668,"Grayson County, Texas",20.6,39.1,30.0,10.4
2669,"Gregg County, Texas",21.2,35.5,28.0,15.4
2670,"Grimes County, Texas",18.3,28.9,34.1,18.8
2671,"Guadalupe County, Texas",28.0,30.1,30.7,11.2
2672,"Hale County, Texas",17.2,24.8,33.0,25.1
2673,"Hall County, Texas",18.3,28.2,34.6,18.9
2674,"Hamilton County, Texas",20.6,31.0,35.5,12.9
2675,"Hansford County, Texas",23.2,20.8,27.4,28.5
2676,"Hardeman County, Texas",16.3,34.8,30.4,18.5
2677,"Hardin County, Texas",18.1,31.1,39.6,11.3
2678,"Harris County, Texas",32.3,26.8,22.8,18.2
2679,"Harrison County, Texas",20.3,34.3,31.8,13.6
2680,"Hartley County, Texas",21.1,25.2,37.9,15.8
2681,"Haskell County, Texas",16.7,23.8,33.7,25.9
2682,"Hays County, Texas",38.6,29.0,22.8,9.6
2683,"Hemphill County, Texas",20.6,25.1,36.5,17.7
2684,"Henderson County, Texas",18.3,33.1,33.5,15.1
2685,"Hidalgo County, Texas",19.3,23.8,23.9,33.1
2686,"Hill County, Texas",17.5,32.8,34.2,15.5
2687,"Hockley County, Texas",15.7,31.8,28.2,24.4
2688,"Hood County, Texas",29.3,32.2,29.5,9.0
